iter	Logloss
0	0.6695736523
1	0.6484253112
2	0.6278177591
3	0.610128182
4	0.5944925581
5	0.5798715552
6	0.5654526097
7	0.5530216682
8	0.5432595873
9	0.5337181103
10	0.5244607482
11	0.5156666163
12	0.5084560873
13	0.5023714781
14	0.4956704974
15	0.4885416194
16	0.4841130906
17	0.4789679256
18	0.4741589278
19	0.469545483
20	0.4656395636
21	0.4621184449
22	0.4586747878
23	0.4553470653
24	0.452424002
25	0.4495664922
26	0.4472784396
27	0.4445920558
28	0.4420168867
29	0.4398824455
30	0.4378342103
31	0.4363876235
32	0.434880374
33	0.4336344009
34	0.4323939161
35	0.430842381
36	0.429872748
37	0.4286126882
38	0.4276703856
39	0.4266352725
40	0.4256710931
41	0.4247387801
42	0.4236603524
43	0.4229363646
44	0.4223478304
45	0.4216209767
46	0.4209864838
47	0.4203241243
48	0.419536811
49	0.4188542595
50	0.418207402
51	0.4175510965
52	0.4170872354
53	0.4164669711
54	0.4160375067
55	0.4154775059
56	0.4151916586
57	0.4146617358
58	0.4141991616
59	0.4135859702
60	0.4131584076
61	0.4127026388
62	0.4122078402
63	0.4118859753
64	0.4115761201
65	0.411154931
66	0.4107355952
67	0.4103378518
68	0.4099969212
69	0.4093740905
70	0.4090014405
71	0.408587593
72	0.4081979598
73	0.4079723878
74	0.4077258524
75	0.4073250125
76	0.4069241321
77	0.4065607638
78	0.4063758533
79	0.4061946607
80	0.4058970262
81	0.4055602635
82	0.4053074445
83	0.4051071278
84	0.4048430877
85	0.4044951174
86	0.4041492115
87	0.4038717408
88	0.4036406652
89	0.4033282276
90	0.4031260304
91	0.4028037375
92	0.4026028322
93	0.4023742471
94	0.4021835986
95	0.4019708689
96	0.4017631727
97	0.4015933151
98	0.4014033065
99	0.4011605928
100	0.4009446217
101	0.4006916192
102	0.4004902854
103	0.4003535089
104	0.4001036857
105	0.3999845513
106	0.3997774864
107	0.3995823592
108	0.3993028158
109	0.3991190022
110	0.3988485528
111	0.3986468753
112	0.3984509148
113	0.3982373033
114	0.3980631942
115	0.3978802397
116	0.3976405664
117	0.3975070001
118	0.3973293977
119	0.3970098181
120	0.3968496885
121	0.39662203
122	0.3964870199
123	0.3962655094
124	0.3960879817
125	0.3959642342
126	0.3957976854
127	0.3955981848
128	0.3954290012
129	0.3952373243
130	0.395068551
131	0.3948578928
132	0.3947003033
133	0.3944919498
134	0.3943429803
135	0.3941421828
136	0.39404615
137	0.393918696
138	0.3938058379
139	0.3936975151
140	0.3935437644
141	0.3934000709
142	0.3932430229
143	0.3930662835
144	0.3928123368
145	0.3925617142
146	0.3924051323
147	0.3923065237
148	0.3921630107
149	0.3920589122
150	0.3918359692
151	0.3917041727
152	0.3916145023
153	0.3914614621
154	0.3912928833
155	0.3911202247
156	0.3909657141
157	0.3908099771
158	0.3906196894
159	0.3904519867
160	0.3902737185
161	0.3901090709
162	0.3899383864
163	0.3897683862
164	0.3895152984
165	0.3893641086
166	0.3891879527
167	0.3890413605
168	0.3888753711
169	0.388727064
170	0.3885649633
171	0.3883710927
172	0.3882138224
173	0.3880521422
174	0.3879643723
175	0.3878425227
176	0.3877079986
177	0.3875277496
178	0.3873346078
179	0.3870871742
180	0.3869470426
181	0.3868623953
182	0.3867173879
183	0.3864973747
184	0.3862904264
185	0.3861393316
186	0.3859319749
187	0.38576224
188	0.3856004424
189	0.3854300864
190	0.3852062102
191	0.3849920039
192	0.3848023133
193	0.3846798261
194	0.38446436
195	0.3843327746
196	0.3841743833
197	0.3840146329
198	0.3838838522
199	0.383748726
